[Epoch 1 | Batch 000 | Step 00] Loss_cls = 2.3819, Loss_grad = 62.0000, L2 = 0.3313, Dot = 0.1183, Cosine = 1.0000
[Epoch 1 | Batch 000 | Step 01] Loss_cls = 2.5727, Loss_grad = 61.0969, L2 = 0.5219, Dot = 0.6502, Cosine = 0.9854
[Epoch 1 | Batch 000 | Step 02] Loss_cls = 2.9592, Loss_grad = 49.0071, L2 = 0.3941, Dot = 0.2473, Cosine = 0.7904
[Epoch 1 | Batch 000 | Step 03] Loss_cls = 3.3564, Loss_grad = 46.8586, L2 = 0.5198, Dot = 0.6012, Cosine = 0.7558
[Epoch 1 | Batch 000 | Step 04] Loss_cls = 2.8406, Loss_grad = 48.6747, L2 = 0.4197, Dot = 0.2537, Cosine = 0.7851
[Epoch 1 | Batch 001 | Step 00] Loss_cls = 2.8613, Loss_grad = 62.0000, L2 = 0.4993, Dot = 0.3143, Cosine = 1.0000
[Epoch 1 | Batch 001 | Step 01] Loss_cls = 3.0164, Loss_grad = 61.7615, L2 = 0.6701, Dot = 1.0896, Cosine = 0.9962
[Epoch 1 | Batch 001 | Step 02] Loss_cls = 2.6961, Loss_grad = 59.0456, L2 = 0.3981, Dot = 0.1469, Cosine = 0.9523
[Epoch 1 | Batch 001 | Step 03] Loss_cls = 3.2464, Loss_grad = 59.4651, L2 = 0.5305, Dot = 0.2669, Cosine = 0.9591
[Epoch 1 | Batch 001 | Step 04] Loss_cls = 3.0888, Loss_grad = 60.6295, L2 = 0.5958, Dot = 0.2831, Cosine = 0.9779
[Epoch 1 | Batch 002 | Step 00] Loss_cls = 2.8056, Loss_grad = 62.0000, L2 = 0.3148, Dot = 0.1057, Cosine = 1.0000
[Epoch 1 | Batch 002 | Step 01] Loss_cls = 2.4991, Loss_grad = 61.9695, L2 = 0.2952, Dot = 0.0825, Cosine = 0.9995
[Epoch 1 | Batch 002 | Step 02] Loss_cls = 2.2225, Loss_grad = 59.8896, L2 = 0.2112, Dot = 0.0332, Cosine = 0.9660
[Epoch 1 | Batch 002 | Step 03] Loss_cls = 2.1117, Loss_grad = 54.7528, L2 = 0.1854, Dot = 0.0251, Cosine = 0.8831
[Epoch 1 | Batch 002 | Step 04] Loss_cls = 2.0642, Loss_grad = 55.9470, L2 = 0.3812, Dot = 0.1539, Cosine = 0.9024
[Epoch 1 | Batch 003 | Step 00] Loss_cls = 2.0448, Loss_grad = 62.0000, L2 = 0.1973, Dot = 0.0293, Cosine = 1.0000
[Epoch 1 | Batch 003 | Step 01] Loss_cls = 1.9164, Loss_grad = 61.9188, L2 = 0.1414, Dot = 0.0153, Cosine = 0.9987
[Epoch 1 | Batch 003 | Step 02] Loss_cls = 1.8193, Loss_grad = 57.0224, L2 = 0.1735, Dot = 0.0216, Cosine = 0.9197
[Epoch 1 | Batch 003 | Step 03] Loss_cls = 1.7448, Loss_grad = 34.9305, L2 = 0.1492, Dot = 0.0153, Cosine = 0.5634
[Epoch 1 | Batch 003 | Step 04] Loss_cls = 1.6621, Loss_grad = 19.7930, L2 = 0.1533, Dot = 0.0098, Cosine = 0.3192
[Epoch 1 | Batch 004 | Step 00] Loss_cls = 1.9427, Loss_grad = 62.0000, L2 = 0.3014, Dot = 0.0636, Cosine = 1.0000
[Epoch 1 | Batch 004 | Step 01] Loss_cls = 1.7876, Loss_grad = 61.9778, L2 = 0.1560, Dot = 0.0185, Cosine = 0.9996
[Epoch 1 | Batch 004 | Step 02] Loss_cls = 1.7857, Loss_grad = 52.1404, L2 = 0.1619, Dot = 0.0164, Cosine = 0.8410
[Epoch 1 | Batch 004 | Step 03] Loss_cls = 1.7506, Loss_grad = 39.4208, L2 = 0.1596, Dot = 0.0143, Cosine = 0.6358
[Epoch 1 | Batch 004 | Step 04] Loss_cls = 1.6878, Loss_grad = 21.6035, L2 = 0.1476, Dot = 0.0105, Cosine = 0.3484
[Epoch 1 | Batch 005 | Step 00] Loss_cls = 1.9048, Loss_grad = 62.0000, L2 = 0.2321, Dot = 0.0384, Cosine = 1.0000
[Epoch 1 | Batch 005 | Step 01] Loss_cls = 1.7987, Loss_grad = 61.9866, L2 = 0.1668, Dot = 0.0192, Cosine = 0.9998
[Epoch 1 | Batch 005 | Step 02] Loss_cls = 1.8171, Loss_grad = 53.7128, L2 = 0.1783, Dot = 0.0189, Cosine = 0.8663
[Epoch 1 | Batch 005 | Step 03] Loss_cls = 1.7513, Loss_grad = 37.2731, L2 = 0.1466, Dot = 0.0137, Cosine = 0.6012
[Epoch 1 | Batch 005 | Step 04] Loss_cls = 1.6612, Loss_grad = 19.1612, L2 = 0.1136, Dot = 0.0076, Cosine = 0.3091
[Epoch 1 | Batch 006 | Step 00] Loss_cls = 1.7886, Loss_grad = 62.0000, L2 = 0.1921, Dot = 0.0257, Cosine = 1.0000
[Epoch 1 | Batch 006 | Step 01] Loss_cls = 1.7418, Loss_grad = 61.9874, L2 = 0.1495, Dot = 0.0141, Cosine = 0.9998
[Epoch 1 | Batch 006 | Step 02] Loss_cls = 1.7845, Loss_grad = 46.2064, L2 = 0.1204, Dot = 0.0089, Cosine = 0.7453
[Epoch 1 | Batch 006 | Step 03] Loss_cls = 1.8016, Loss_grad = 26.1539, L2 = 0.1089, Dot = 0.0075, Cosine = 0.4218
[Epoch 1 | Batch 006 | Step 04] Loss_cls = 1.8103, Loss_grad = 21.1051, L2 = 0.1080, Dot = 0.0066, Cosine = 0.3404
[Epoch 1 | Batch 007 | Step 00] Loss_cls = 1.8304, Loss_grad = 62.0000, L2 = 0.1980, Dot = 0.0270, Cosine = 1.0000
[Epoch 1 | Batch 007 | Step 01] Loss_cls = 1.7475, Loss_grad = 61.9945, L2 = 0.1484, Dot = 0.0147, Cosine = 0.9999
[Epoch 1 | Batch 007 | Step 02] Loss_cls = 1.7506, Loss_grad = 57.1194, L2 = 0.1440, Dot = 0.0176, Cosine = 0.9213
[Epoch 1 | Batch 007 | Step 03] Loss_cls = 1.7410, Loss_grad = 38.2294, L2 = 0.1113, Dot = 0.0074, Cosine = 0.6166
[Epoch 1 | Batch 007 | Step 04] Loss_cls = 1.7493, Loss_grad = 35.9585, L2 = 0.1480, Dot = 0.0133, Cosine = 0.5800
[Epoch 1 | Batch 008 | Step 00] Loss_cls = 1.7793, Loss_grad = 62.0000, L2 = 0.2016, Dot = 0.0286, Cosine = 1.0000
[Epoch 1 | Batch 008 | Step 01] Loss_cls = 1.6993, Loss_grad = 61.9963, L2 = 0.1566, Dot = 0.0174, Cosine = 0.9999
[Epoch 1 | Batch 008 | Step 02] Loss_cls = 1.6336, Loss_grad = 57.1300, L2 = 0.1094, Dot = 0.0084, Cosine = 0.9215
[Epoch 1 | Batch 008 | Step 03] Loss_cls = 1.6338, Loss_grad = 50.0373, L2 = 0.1234, Dot = 0.0108, Cosine = 0.8071
[Epoch 1 | Batch 008 | Step 04] Loss_cls = 1.6403, Loss_grad = 39.7260, L2 = 0.1343, Dot = 0.0119, Cosine = 0.6407
[Epoch 1 | Batch 009 | Step 00] Loss_cls = 1.7514, Loss_grad = 62.0000, L2 = 0.1346, Dot = 0.0158, Cosine = 1.0000
[Epoch 1 | Batch 009 | Step 01] Loss_cls = 1.7106, Loss_grad = 61.9740, L2 = 0.1167, Dot = 0.0101, Cosine = 0.9996
[Epoch 1 | Batch 009 | Step 02] Loss_cls = 1.7134, Loss_grad = 52.8886, L2 = 0.1241, Dot = 0.0119, Cosine = 0.8530
[Epoch 1 | Batch 009 | Step 03] Loss_cls = 1.7069, Loss_grad = 33.6596, L2 = 0.1122, Dot = 0.0081, Cosine = 0.5429
[Epoch 1 | Batch 009 | Step 04] Loss_cls = 1.6865, Loss_grad = 0.6927, L2 = 0.0900, Dot = 0.0017, Cosine = 0.0112
[Epoch 1 | Batch 010 | Step 00] Loss_cls = 1.7136, Loss_grad = 62.0000, L2 = 0.1803, Dot = 0.0251, Cosine = 1.0000
[Epoch 1 | Batch 010 | Step 01] Loss_cls = 1.6661, Loss_grad = 61.9936, L2 = 0.1376, Dot = 0.0117, Cosine = 0.9999
