[Epoch 1 | Batch 000 ] loss = 2.3838 L2 = 0.0000, Cosine = 1.0000
[Epoch 1 | Batch 001 ] loss = 2.5937 L2 = 0.0000, Cosine = 1.0000
[Epoch 1 | Batch 002 ] loss = 2.5663 L2 = 0.0000, Cosine = 1.0000
[Epoch 1 | Batch 003 ] loss = 3.1943 L2 = 0.0000, Cosine = 1.0000
[Epoch 1 | Batch 004 ] loss = 3.9201 L2 = 0.0000, Cosine = 1.0000
[Epoch 1 | Batch 005 ] loss = 4.1898 L2 = 0.0000, Cosine = 1.0000
[Epoch 1 | Batch 006 ] loss = 4.9824 L2 = 0.0000, Cosine = 1.0000
[Epoch 1 | Batch 007 ] loss = 4.0079 L2 = 0.0000, Cosine = 1.0000
[Epoch 1 | Batch 008 ] loss = 3.5496 L2 = 0.0000, Cosine = 1.0000
[Epoch 1 | Batch 009 ] loss = 2.9852 L2 = 0.0000, Cosine = 1.0000
[Epoch 1 | Batch 010 ] loss = 3.0934 L2 = 0.0000, Cosine = 1.0000
[Epoch 1 | Batch 011 ] loss = 3.0385 L2 = 0.0000, Cosine = 1.0000
[Epoch 1 | Batch 012 ] loss = 3.0219 L2 = 0.0000, Cosine = 1.0000
[Epoch 1 | Batch 013 ] loss = 2.7335 L2 = 0.0000, Cosine = 1.0000
[Epoch 1 | Batch 014 ] loss = 2.7455 L2 = 0.0000, Cosine = 1.0000
[Epoch 1 | Batch 015 ] loss = 2.7033 L2 = 0.0000, Cosine = 1.0000
[Epoch 1 | Batch 016 ] loss = 2.5849 L2 = 0.0000, Cosine = 1.0000
[Epoch 1 | Batch 017 ] loss = 2.8272 L2 = 0.0000, Cosine = 1.0000
[Epoch 1 | Batch 018 ] loss = 2.9513 L2 = 0.0000, Cosine = 1.0000
[Epoch 1 | Batch 019 ] loss = 2.4288 L2 = 0.0000, Cosine = 1.0000
[Epoch 1 | Batch 020 ] loss = 2.6552 L2 = 0.0000, Cosine = 1.0000
[Epoch 1 | Batch 021 ] loss = 2.4497 L2 = 0.0000, Cosine = 1.0000
[Epoch 1 | Batch 022 ] loss = 2.3533 L2 = 0.0000, Cosine = 1.0000
[Epoch 1 | Batch 023 ] loss = 2.2193 L2 = 0.0000, Cosine = 1.0000
[Epoch 1 | Batch 024 ] loss = 2.2303 L2 = 0.0000, Cosine = 1.0000
[Epoch 1 | Batch 025 ] loss = 2.2403 L2 = 0.0000, Cosine = 1.0000
[Epoch 1 | Batch 026 ] loss = 2.1049 L2 = 0.0000, Cosine = 1.0000
[Epoch 1 | Batch 027 ] loss = 2.0463 L2 = 0.0000, Cosine = 1.0000
[Epoch 1 | Batch 028 ] loss = 1.9491 L2 = 0.0000, Cosine = 1.0000
[Epoch 1 | Batch 029 ] loss = 2.1251 L2 = 0.0000, Cosine = 1.0000
[Epoch 1 | Batch 030 ] loss = 2.2416 L2 = 0.0000, Cosine = 1.0000
[Epoch 1 | Batch 031 ] loss = 2.0556 L2 = 0.0000, Cosine = 1.0000
[Epoch 1 | Batch 032 ] loss = 1.9619 L2 = 0.0000, Cosine = 1.0000
[Epoch 1 | Batch 033 ] loss = 1.9866 L2 = 0.0000, Cosine = 1.0000
[Epoch 1 | Batch 034 ] loss = 1.9951 L2 = 0.0000, Cosine = 1.0000
[Epoch 1 | Batch 035 ] loss = 1.9503 L2 = 0.0000, Cosine = 1.0000
[Epoch 1 | Batch 036 ] loss = 2.0720 L2 = 0.0000, Cosine = 1.0000
[Epoch 1 | Batch 037 ] loss = 2.0294 L2 = 0.0000, Cosine = 1.0000
[Epoch 1 | Batch 038 ] loss = 1.9537 L2 = 0.0000, Cosine = 1.0000
[Epoch 1 | Batch 039 ] loss = 1.9163 L2 = 0.0000, Cosine = 1.0000
[Epoch 1 | Batch 040 ] loss = 1.9206 L2 = 0.0000, Cosine = 1.0000
[Epoch 1 | Batch 041 ] loss = 1.8577 L2 = 0.0000, Cosine = 1.0000
[Epoch 1 | Batch 042 ] loss = 1.8727 L2 = 0.0000, Cosine = 1.0000
[Epoch 1 | Batch 043 ] loss = 1.8667 L2 = 0.0000, Cosine = 1.0000
[Epoch 1 | Batch 044 ] loss = 2.2223 L2 = 0.0000, Cosine = 1.0000
[Epoch 1 | Batch 045 ] loss = 1.9055 L2 = 0.0000, Cosine = 1.0000
[Epoch 1 | Batch 046 ] loss = 1.8615 L2 = 0.0000, Cosine = 1.0000
[Epoch 1 | Batch 047 ] loss = 1.8547 L2 = 0.0000, Cosine = 1.0000
[Epoch 1 | Batch 048 ] loss = 1.8317 L2 = 0.0000, Cosine = 1.0000
[Epoch 1 | Batch 049 ] loss = 1.7648 L2 = 0.0000, Cosine = 1.0000
[Epoch 1 | Batch 050 ] loss = 1.7639 L2 = 0.0000, Cosine = 1.0000
[Epoch 1 | Batch 051 ] loss = 1.7625 L2 = 0.0000, Cosine = 1.0000
[Epoch 1 | Batch 052 ] loss = 1.9048 L2 = 0.0000, Cosine = 1.0000
[Epoch 1 | Batch 053 ] loss = 1.8235 L2 = 0.0000, Cosine = 1.0000
[Epoch 1 | Batch 054 ] loss = 1.7408 L2 = 0.0000, Cosine = 1.0000
[Epoch 1 | Batch 055 ] loss = 1.8053 L2 = 0.0000, Cosine = 1.0000
[Epoch 1 | Batch 056 ] loss = 1.8096 L2 = 0.0000, Cosine = 1.0000
[Epoch 1 | Batch 057 ] loss = 1.7398 L2 = 0.0000, Cosine = 1.0000
[Epoch 1 | Batch 058 ] loss = 1.7446 L2 = 0.0000, Cosine = 1.0000
[Epoch 1 | Batch 059 ] loss = 1.7180 L2 = 0.0000, Cosine = 1.0000
[Epoch 1 | Batch 060 ] loss = 1.7066 L2 = 0.0000, Cosine = 1.0000
[Epoch 1 | Batch 061 ] loss = 1.6945 L2 = 0.0000, Cosine = 1.0000
[Epoch 1 | Batch 062 ] loss = 1.7543 L2 = 0.0000, Cosine = 1.0000
[Epoch 1 | Batch 063 ] loss = 1.7381 L2 = 0.0000, Cosine = 1.0000
[Epoch 1 | Batch 064 ] loss = 1.6415 L2 = 0.0000, Cosine = 1.0000
[Epoch 1 | Batch 065 ] loss = 1.7158 L2 = 0.0000, Cosine = 1.0000
[Epoch 1 | Batch 066 ] loss = 1.6504 L2 = 0.0000, Cosine = 1.0000
[Epoch 1 | Batch 067 ] loss = 1.6408 L2 = 0.0000, Cosine = 1.0000
[Epoch 1 | Batch 068 ] loss = 1.6014 L2 = 0.0000, Cosine = 1.0000
[Epoch 1 | Batch 069 ] loss = 1.6482 L2 = 0.0000, Cosine = 1.0000
[Epoch 1 | Batch 070 ] loss = 1.6951 L2 = 0.0000, Cosine = 1.0000
[Epoch 1 | Batch 071 ] loss = 1.6242 L2 = 0.0000, Cosine = 1.0000
[Epoch 1 | Batch 072 ] loss = 1.5845 L2 = 0.0000, Cosine = 1.0000
[Epoch 1 | Batch 073 ] loss = 1.6213 L2 = 0.0000, Cosine = 1.0000
[Epoch 1 | Batch 074 ] loss = 1.7127 L2 = 0.0000, Cosine = 1.0000
[Epoch 1 | Batch 075 ] loss = 1.6509 L2 = 0.0000, Cosine = 1.0000
[Epoch 1 | Batch 076 ] loss = 1.6616 L2 = 0.0000, Cosine = 1.0000
[Epoch 1 | Batch 077 ] loss = 1.5966 L2 = 0.0000, Cosine = 1.0000
[Epoch 1 | Batch 078 ] loss = 1.6114 L2 = 0.0000, Cosine = 1.0000
[Epoch 1 | Batch 079 ] loss = 1.6657 L2 = 0.0000, Cosine = 1.0000
[Epoch 1 | Batch 080 ] loss = 1.6210 L2 = 0.0000, Cosine = 1.0000
[Epoch 1 | Batch 081 ] loss = 1.5747 L2 = 0.0000, Cosine = 1.0000
[Epoch 1 | Batch 082 ] loss = 1.6475 L2 = 0.0000, Cosine = 1.0000
[Epoch 1 | Batch 083 ] loss = 1.5107 L2 = 0.0000, Cosine = 1.0000
[Epoch 1 | Batch 084 ] loss = 1.6376 L2 = 0.0000, Cosine = 1.0000
[Epoch 1 | Batch 085 ] loss = 1.5839 L2 = 0.0000, Cosine = 1.0000
[Epoch 1 | Batch 086 ] loss = 1.5414 L2 = 0.0000, Cosine = 1.0000
